Date,Warehouse,SKU,Current_Stock,Reorder_Level,Max_Stock,Damaged_Qty,Holding_Cost
2025-04-01,KK,SKU0384,,85,207,4,63.12
2024-11-24,Johor,SKU0920,667,44,193,2,80.04
2025-06-30,Shah Alam,SKU0995,791,88,508,1,94.92
2024-08-06,Melaka,SKU0216,686,100,253,3,82.32
2025-10-24,Johor,SKU0551,719,75,557,10,86.28
2024-12-05,Shah Alam,SKU0158,24,78,222,1,2.88
2025-07-25,Johor,SKU0056,182,52,446,3,21.84
2025-02-01,KK,SKU0933,264,72,494,6,31.68
2025-02-02,Johor,SKU0444,323,22,395,0,38.76
2024-03-05,Shah Alam,SKU0657,737,99,557,1,88.44
2024-10-23,Kuching,SKU0367,514,33,443,1,61.68
2025-01-25,Melaka,SKU0289,783,76,514,0,93.96
2024-08-13,Penang,SKU0486,160,88,570,6,19.2
2025-10-11,Penang,SKU0816,558,57,309,10,66.96
2024-01-12,Penang,SKU0909,746,67,230,0,89.52
2025-02-07,Johor,SKU0006,586,96,352,3,70.32
2024-08-04,Melaka,SKU0767,759,64,494,8,91.08
2024-08-14,Kuching,SKU0146,164,43,242,1,19.68
2024-02-25,KK,SKU0186,687,92,522,8,82.44
2024-09-13,Johor,SKU0075,297,28,229,9,35.64
2024-05-11,Kuantan,SKU0499,338,65,216,4,40.56
2024-11-21,KK,SKU0635,71,44,374,5,8.52
2025-12-11,Penang,SKU0632,675,59,448,9,81.0
2024-06-21,Shah Alam,SKU0374,323,74,334,3,38.76
2024-10-10,Ipoh,SKU0805,226,75,243,10,27.12
2025-04-18,KK,SKU0751,339,81,364,4,40.68
2024-06-28,Johor,SKU0499,564,33,276,2,67.68
2024-09-26,Johor,SKU0913,551,45,517,1,66.12
2025-10-08,Shah Alam,SKU0914,19,84,481,9,2.28
2024-08-05,Shah Alam,SKU0415,787,95,477,4,94.44
2025-10-31,Penang,SKU0557,552,80,367,6,66.24
2024-10-24,Penang,SKU0229,790,95,432,8,94.8
2025-01-07,Shah Alam,SKU0523,92,70,509,3,11.04
2025-06-10,Penang,SKU0869,628,41,369,2,75.36
2025-11-06,Penang,SKU0184,579,92,568,7,69.48
2024-08-12,KK,SKU0962,367,25,243,1,44.04
2024-02-13,Kuantan,SKU0271,378,49,414,5,45.36
2024-02-17,Shah Alam,SKU0398,480,78,510,5,57.6
2025-10-10,Kuching,SKU0106,720,86,565,4,86.4
2024-06-27,Melaka,SKU0593,557,92,526,6,66.84
2025-06-13,Kuching,SKU0375,601,29,321,3,72.12
2024-12-19,KK,SKU0529,415,65,411,9,49.8
2025-03-26,Penang,SKU0007,513,37,254,1,61.56
2024-08-04,Penang,SKU0527,658,55,250,2,78.96
2025-11-07,Kuantan,SKU0371,616,35,347,5,73.92
2025-11-22,KK,SKU0738,116,81,426,3,13.92
2024-01-23,Kuantan,SKU0605,165,72,194,2,19.8
2024-05-17,Shah Alam,SKU0588,606,40,433,2,72.72
2024-07-03,Melaka,SKU0058,170,53,459,9,20.4
2024-03-28,Kuantan,SKU0653,19,56,385,9,2.28
2024-08-12,Melaka,SKU0483,493,41,448,2,59.16
2025-09-30,Kuching,SKU0814,596,43,228,10,71.52
2025-08-27,Johor,SKU0351,464,96,313,6,55.68
2024-01-17,Kuantan,SKU0395,135,33,400,8,16.2
2025-09-12,Johor,SKU0701,429,39,229,7,51.48
2024-02-09,Johor,SKU0924,629,96,243,7,75.48
2025-07-06,Shah Alam,SKU0676,133,97,593,10,15.96
2025-03-06,Ipoh,SKU0665,441,86,208,8,52.92
2025-01-25,Ipoh,SKU0440,234,81,482,9,28.08
2024-09-17,KK,SKU0101,435,37,529,3,52.2
2025-09-04,Melaka,SKU0932,85,56,287,3,10.2
2025-08-14,Johor,SKU0006,726,20,386,0,87.12
2025-12-05,Ipoh,SKU0385,670,46,355,5,80.4
2025-10-29,Kuching,SKU0110,158,74,307,8,18.96
2025-09-18,Kuching,SKU0434,578,66,514,6,69.36
2025-07-19,KK,SKU0774,208,72,263,5,24.96
2024-09-16,Kuching,SKU0573,568,81,476,5,68.16
2024-05-21,Johor,SKU0793,722,70,552,3,86.64
2024-04-12,Kuantan,SKU0458,716,40,400,6,85.92
2025-09-20,Shah Alam,SKU0805,346,90,272,6,41.52
2024-04-03,Penang,SKU0988,651,20,361,9,78.12
2024-09-26,Kuantan,SKU0446,90,28,317,1,10.8
2025-02-14,Kuching,SKU0624,38,69,533,9,4.56
2025-10-17,KK,SKU0059,792,42,366,0,95.04
2024-10-19,Kuantan,SKU0207,672,86,203,9,80.64
2025-09-21,Penang,SKU0523,528,49,494,0,63.36
2024-06-10,Johor,SKU0369,244,20,261,6,29.28
2025-02-19,Kuantan,SKU0362,685,70,435,0,82.2
2024-04-02,Kuching,SKU0755,720,28,499,8,86.4
2024-12-21,Kuching,SKU0937,596,64,279,9,71.52
2025-02-17,Shah Alam,SKU0987,199,78,311,2,23.88
2025-07-26,Johor,SKU0417,518,33,390,4,62.16
2024-09-20,Kuching,SKU0349,119,85,540,7,14.28
2025-05-10,Kuantan,SKU0990,386,92,579,5,46.32
2025-11-28,KK,SKU0985,794,78,478,0,95.28
2024-03-10,Melaka,SKU0494,119,53,477,3,14.28
2024-11-19,Melaka,SKU0694,718,49,329,8,86.16
2024-09-11,Kuching,SKU0549,9,53,200,6,1.08
2024-03-18,Penang,SKU0690,766,63,406,5,91.92
2024-10-02,Penang,SKU0363,223,93,575,10,26.76
2024-07-23,Kuantan,SKU0953,194,83,559,3,23.28
2024-08-22,Kuantan,SKU0894,271,46,273,9,32.52
2024-05-02,Johor,SKU0365,159,33,479,10,19.08
2025-07-08,Shah Alam,SKU0505,628,20,366,5,75.36
2025-08-11,Kuching,SKU0636,322,83,434,2,38.64
2025-02-11,Kuantan,SKU0783,523,55,539,9,62.76
2025-03-09,KK,SKU0132,55,87,463,0,6.6
2025-12-03,Penang,SKU0515,355,70,404,1,42.6
2024-11-19,Shah Alam,SKU0716,530,78,184,10,63.6
2024-04-13,Ipoh,SKU0216,388,94,379,9,46.56
2025-07-15,Kuching,SKU0883,265,43,264,4,31.8
2025-01-09,Penang,SKU0483,627,63,418,6,75.24
2025-01-08,Melaka,SKU0216,429,67,310,7,51.48
2025-08-12,Kuantan,SKU0185,585,36,187,4,70.2
2025-03-18,Melaka,SKU0824,241,91,291,2,28.92
2025-04-29,Shah Alam,SKU0820,756,39,229,6,90.72
2025-06-13,Ipoh,SKU0512,137,100,449,4,16.44
2024-02-18,Melaka,SKU0257,575,92,242,2,69.0
2025-05-02,Johor,SKU0062,220,52,382,5,26.4
2025-07-27,Kuching,SKU0267,369,66,342,0,44.28
2025-11-26,Kuantan,SKU0422,124,64,459,9,14.88
2024-06-27,Kuching,SKU0666,664,88,369,5,79.68
2025-04-02,Johor,SKU0690,522,82,377,9,62.64
2024-05-28,Penang,SKU0294,474,100,527,5,56.88
2025-08-08,Melaka,SKU0432,646,98,234,1,77.52
2024-11-17,Ipoh,SKU0166,351,49,483,4,42.12
2025-10-22,Melaka,SKU0728,273,97,335,7,32.76
2025-06-17,KK,SKU0800,371,95,406,2,44.52
2024-08-28,Kuching,SKU0189,23,36,516,1,2.76
2024-04-15,Johor,SKU0216,170,70,202,7,20.4
2025-02-10,Johor,SKU0562,55,23,176,4,6.6
2025-11-01,Melaka,SKU0633,159,30,288,3,19.08
2025-03-29,Penang,SKU0254,755,56,223,8,90.6
2024-02-05,Ipoh,SKU0859,174,23,289,7,20.88
2025-07-15,KK,SKU0479,553,54,223,8,66.36
2025-04-12,Melaka,SKU0182,605,96,464,10,72.6
2024-12-21,KK,SKU0655,546,59,435,3,65.52
2024-11-11,Ipoh,SKU0825,91,76,387,4,10.92
2024-01-01,Penang,SKU0160,310,21,297,4,37.2
2025-12-05,KK,SKU0481,547,21,507,7,65.64
2024-10-26,Kuantan,SKU0307,9,75,178,8,1.08
2025-07-28,Melaka,SKU0383,193,72,374,3,23.16
2025-01-22,Kuantan,SKU0168,732,69,303,1,87.84
2025-06-13,Kuching,SKU0433,640,50,295,10,76.8
2025-02-26,Kuantan,SKU0761,544,54,189,2,65.28
2025-10-14,KK,SKU0140,296,34,450,7,35.52
2025-05-18,Kuantan,SKU0279,717,99,363,0,86.04
2024-01-23,Penang,SKU0156,50,88,240,4,6.0
2024-01-09,Kuantan,SKU0276,128,76,222,2,15.36
2024-12-16,Melaka,SKU0016,505,47,306,7,60.6
2024-12-04,Johor,SKU0381,474,24,508,2,56.88
2024-03-14,KK,SKU0058,272,70,262,3,32.64
2024-01-13,Johor,SKU0918,256,68,561,3,30.72
2024-09-10,Shah Alam,SKU0395,789,76,277,7,94.68
2025-06-17,Kuantan,SKU0753,789,32,374,6,94.68
2024-06-11,Shah Alam,SKU0698,319,61,542,8,38.28
2025-05-07,Kuching,SKU0534,125,52,253,5,15.0
2024-04-25,Kuantan,SKU0909,53,47,471,6,6.36
2024-10-09,Johor,SKU0333,15,41,343,3,1.8
2025-12-08,KK,SKU0010,43,94,546,9,5.16
2024-09-11,Penang,SKU0159,380,31,386,1,45.6
2025-10-02,Shah Alam,SKU0703,633,63,193,5,75.96
2024-04-19,Penang,SKU0661,157,88,437,3,18.84
2025-03-25,Kuantan,SKU0325,571,64,174,6,68.52
2024-09-13,Shah Alam,SKU0367,741,37,385,7,88.92
2025-12-14,KK,SKU0573,301,89,286,9,36.12
2024-11-27,KK,SKU0192,556,64,304,9,66.72
2024-03-11,Penang,SKU0937,567,40,370,4,68.04
2025-01-10,KK,SKU0840,269,89,189,10,32.28
2024-01-20,Ipoh,SKU0519,388,43,540,9,46.56
2025-11-05,Melaka,SKU0245,328,28,225,8,39.36
2024-06-06,Kuching,SKU0700,509,90,355,6,61.08
2024-04-08,Johor,SKU0657,329,34,156,2,39.48
2024-04-19,KK,SKU0183,32,45,243,1,3.84
2025-11-04,KK,SKU0033,584,69,438,9,70.08
2024-02-20,Ipoh,SKU0719,604,52,265,9,72.48
2024-08-01,KK,SKU0736,72,21,161,7,8.64
2025-01-04,Melaka,SKU0821,654,27,315,0,78.48
2025-06-25,Shah Alam,SKU0844,631,54,529,1,75.72
2024-08-09,Johor,SKU0855,311,29,180,3,37.32
2024-07-16,Kuantan,SKU0545,394,44,435,10,47.28
2025-07-25,Melaka,SKU0971,183,91,573,1,21.96
2025-01-01,KK,SKU0785,653,93,552,10,78.36
2024-07-03,Melaka,SKU0438,106,41,399,5,12.72
2025-09-06,KK,SKU0674,161,88,368,5,19.32
2025-02-26,Melaka,SKU0564,332,67,538,5,39.84
2025-07-12,Kuantan,SKU0624,246,92,384,8,29.52
2025-01-03,KK,SKU0949,762,52,381,6,91.44
2024-10-18,Shah Alam,SKU0001,743,24,389,2,89.16
2024-11-03,Kuantan,SKU0912,309,20,229,5,37.08
2025-07-20,Penang,SKU0023,790,55,203,0,94.8
2024-05-21,Kuching,SKU0472,364,39,326,9,43.68
2024-11-03,Johor,SKU0256,238,52,444,6,28.56
2024-11-28,KK,SKU0583,222,29,217,7,26.64
2024-04-07,Kuching,SKU0846,706,93,212,9,84.72
2024-12-08,Ipoh,SKU0391,80,27,349,6,9.6
2025-10-30,Shah Alam,SKU0953,123,49,473,10,14.76
2025-06-20,Shah Alam,SKU0392,55,59,322,8,6.6
2025-05-29,Kuantan,SKU0579,153,61,239,0,18.36
2025-04-01,Johor,SKU0690,749,70,283,6,89.88
2024-05-15,Ipoh,SKU0297,403,38,180,7,48.36
2025-07-15,Melaka,SKU0586,763,26,260,1,91.56
2025-12-15,Penang,SKU0409,513,75,565,2,61.56
2025-05-14,Melaka,SKU0493,572,45,478,9,68.64
2025-06-20,Kuantan,SKU0201,574,98,322,1,68.88
2024-11-27,Johor,SKU0273,795,75,232,10,95.4
2024-12-22,Kuantan,SKU0424,433,66,330,5,51.96
2024-11-08,Penang,SKU0609,671,23,302,9,80.52
2024-05-29,KK,SKU0842,452,99,221,3,54.24
2024-06-08,Johor,SKU0205,701,67,224,0,84.12
2024-10-21,Shah Alam,SKU0249,635,38,313,1,76.2
2024-01-24,Ipoh,SKU0313,460,80,287,8,55.2
2025-06-19,Kuching,SKU0217,208,89,469,7,24.96
2025-12-12,Shah Alam,SKU0638,747,38,330,9,89.64
2024-02-14,Kuching,SKU0928,679,87,274,0,81.48
2024-10-04,Shah Alam,SKU0291,205,99,437,10,24.6
2025-02-01,Kuching,SKU0968,8,28,467,10,0.96
2024-10-26,Melaka,SKU0369,110,22,240,6,13.2
2024-11-19,KK,SKU0521,726,32,437,8,87.12
2025-05-27,KK,SKU0091,190,45,432,0,22.8
2024-11-08,Ipoh,SKU0041,253,87,437,6,30.36
2024-12-21,Ipoh,SKU0763,160,22,303,10,19.2
2024-10-09,Shah Alam,SKU0310,241,84,504,4,28.92
2025-07-22,Kuching,SKU0900,396,23,238,2,47.52
2024-03-30,Melaka,SKU0350,402,37,403,10,48.24
2025-03-03,Kuantan,SKU0628,640,49,442,2,76.8
2024-12-03,KK,SKU0437,319,97,474,2,38.28
2025-08-17,Kuantan,SKU0212,668,37,207,4,80.16
2024-05-18,Melaka,SKU0706,722,87,581,2,86.64
2024-11-21,Johor,SKU0672,578,40,425,8,69.36
2024-07-07,Ipoh,SKU0972,736,35,209,0,88.32
2025-02-25,Kuching,SKU0784,326,72,398,10,39.12
2024-06-04,Kuantan,SKU0956,756,55,209,2,90.72
2025-09-23,Kuching,SKU0190,26,98,508,9,3.12
2024-08-25,Kuantan,SKU0628,236,96,547,0,28.32
2024-05-17,KK,SKU0368,81,81,545,10,9.72
2025-05-18,KK,SKU0383,188,69,239,2,22.56
2025-02-22,Shah Alam,SKU0198,231,24,262,6,27.72
2024-07-28,Johor,SKU0228,760,45,235,7,91.2
2025-12-05,Ipoh,SKU0888,631,82,416,3,75.72
2025-09-14,Melaka,SKU0438,414,25,493,5,49.68
2025-08-31,Shah Alam,SKU0404,626,93,459,1,75.12
2024-09-08,Melaka,SKU0463,467,25,501,0,56.04
2025-10-07,Shah Alam,SKU0572,396,86,283,4,47.52
2024-10-19,KK,SKU0451,407,58,243,6,48.84
2025-12-07,Penang,SKU0302,627,26,363,10,75.24
2024-04-25,Penang,SKU0463,92,84,582,9,11.04
2024-05-18,Melaka,SKU0961,712,89,400,5,85.44
2025-04-09,Kuantan,SKU0462,25,42,374,1,3.0
2024-05-06,Johor,SKU0257,331,40,198,7,39.72
2025-06-20,Melaka,SKU0650,371,30,502,8,44.52
2025-07-17,Melaka,SKU0627,163,68,190,2,19.56
2025-11-06,Penang,SKU0935,343,92,275,2,41.16
2025-03-05,Kuching,SKU0184,787,26,284,7,94.44
2024-04-30,Penang,SKU0296,641,43,246,0,76.92
2024-01-13,KK,SKU0638,783,52,406,7,93.96
2025-05-20,Kuantan,SKU0557,5,97,308,9,0.6
2025-02-23,KK,SKU0676,487,78,218,9,58.44
2025-07-14,Kuching,SKU0615,6,51,468,10,0.72
2024-07-08,Penang,SKU0571,212,26,154,10,25.44
2024-02-03,Kuching,SKU0358,37,38,307,1,4.44
2024-07-01,Penang,SKU0051,111,73,517,4,13.32
2025-08-09,Penang,SKU0626,676,96,429,9,81.12
2024-11-02,Ipoh,SKU0369,36,31,319,6,4.32
2025-07-17,Johor,SKU0840,69,74,323,7,8.28
2024-12-03,Melaka,SKU0138,124,55,423,3,14.88
2024-02-29,Johor,SKU0713,214,98,490,10,25.68
2025-12-06,Kuching,SKU0542,89,81,399,9,10.68
2025-06-22,Ipoh,SKU0869,324,53,219,9,38.88
2025-10-09,KK,SKU0577,508,86,438,2,60.96
2025-12-26,Kuching,SKU0905,624,49,248,0,74.88
2025-10-02,Johor,SKU0122,24,79,556,3,2.88
2025-02-27,Shah Alam,SKU0819,630,73,343,5,75.6
2024-01-12,Kuantan,SKU0574,652,47,500,4,78.24
2024-11-03,Ipoh,SKU0261,69,59,551,0,8.28
2024-12-15,Melaka,SKU0117,702,62,532,9,84.24
2024-07-17,Ipoh,SKU0631,29,42,315,10,3.48
2025-10-23,Penang,SKU0491,485,24,370,2,58.2
2024-12-09,KK,SKU0643,471,88,399,0,56.52
2025-08-01,Ipoh,SKU0856,533,58,442,8,63.96
2025-12-02,Ipoh,SKU0020,213,93,374,1,25.56
2024-02-01,Ipoh,SKU0993,152,55,347,10,18.24
2025-09-12,Melaka,SKU0548,169,93,288,9,20.28
2025-12-23,Ipoh,SKU0120,769,59,522,0,92.28
2025-05-23,Kuantan,SKU0279,423,31,321,7,50.76
2025-06-21,Kuching,SKU0850,309,47,236,1,37.08
2024-04-04,KK,SKU0384,38,45,404,0,4.56
2024-06-06,Kuantan,SKU0819,494,84,358,7,59.28
2024-12-01,Penang,SKU0751,536,59,552,1,64.32
2024-07-29,Shah Alam,SKU0842,528,36,371,6,63.36
2024-01-05,Kuching,SKU0731,534,34,156,10,64.08
2024-12-07,KK,SKU0869,608,31,154,1,72.96
2024-01-24,Kuching,SKU0534,784,59,486,3,94.08
2024-10-20,Kuching,SKU0329,205,44,416,5,24.6
2024-10-06,Penang,SKU0792,451,35,215,4,54.12
2025-07-27,Johor,SKU0118,15,99,304,8,1.8
2024-10-04,Penang,SKU0359,562,60,520,4,67.44
2024-03-13,Kuching,SKU0588,250,41,454,5,30.0
2024-05-13,Shah Alam,SKU0554,454,26,367,10,54.48
2024-02-25,Johor,SKU0052,108,69,387,6,12.96
2025-08-29,KK,SKU0184,721,96,511,5,86.52
2025-12-31,Johor,SKU0320,340,45,531,7,40.8
2025-12-16,KK,SKU0582,134,31,180,7,16.08
2025-04-26,Kuantan,SKU0318,700,79,293,2,84.0
2025-01-07,Melaka,SKU0882,631,53,246,10,75.72
2025-05-14,Shah Alam,SKU0339,332,78,211,7,39.84
2025-04-17,Penang,SKU0116,359,81,325,5,43.08
2025-06-04,Johor,SKU0619,588,36,343,1,70.56
2024-11-05,KK,SKU0334,569,29,334,9,68.28
2024-09-06,Penang,SKU0424,244,99,445,6,29.28
2025-12-11,Melaka,SKU0068,348,46,368,9,41.76
2025-12-11,Kuantan,SKU0807,350,89,277,10,42.0
2025-05-13,Johor,SKU0686,79,93,496,9,9.48
2024-04-09,KK,SKU0475,333,91,281,4,39.96
2025-09-04,Johor,SKU0979,415,28,478,9,49.8
2025-05-21,Shah Alam,SKU0790,388,61,207,3,46.56
2025-10-13,Shah Alam,SKU0837,142,94,581,2,17.04
2025-06-28,Kuching,SKU0677,152,77,376,9,18.24
2024-07-29,Ipoh,SKU0592,457,45,298,9,54.84
2025-03-21,Ipoh,SKU0814,695,58,203,9,83.4
2025-02-17,Penang,SKU0009,626,85,335,0,75.12
2024-01-01,Ipoh,SKU0379,562,26,182,4,67.44
2025-03-18,Melaka,SKU0887,31,50,470,5,3.72
2025-01-25,Melaka,SKU0729,391,71,450,3,46.92
2024-05-22,Kuantan,SKU0679,177,80,464,6,21.24
2024-06-06,Kuching,SKU0864,368,73,516,2,44.16
2025-10-25,Shah Alam,SKU0138,11,29,202,7,1.32
2024-03-27,Penang,SKU0674,447,37,465,6,53.64
2025-03-11,Penang,SKU0881,466,97,429,8,55.92
2025-01-28,Ipoh,SKU0435,565,77,292,2,67.8
2025-08-14,KK,SKU0435,619,20,494,3,74.28
2025-02-24,Ipoh,SKU0730,513,54,171,0,61.56
2024-04-25,KK,SKU0582,494,67,520,1,59.28
2024-10-13,KK,SKU0146,747,87,451,1,89.64
2024-09-08,KK,SKU0536,624,31,453,10,74.88
2025-12-01,Kuching,SKU0984,684,29,442,0,82.08
2024-01-12,KK,SKU0926,351,88,420,8,42.12
2024-12-05,Melaka,SKU0928,480,93,373,4,57.6
2025-12-12,Kuching,SKU0297,171,24,496,9,20.52
2025-04-29,Penang,SKU0267,62,100,493,0,7.44
2024-01-28,Kuching,SKU0673,298,99,447,1,35.76
2024-10-11,Kuching,SKU0130,517,29,196,9,62.04
2024-01-15,Johor,SKU0288,281,52,461,2,33.72
2025-11-05,KK,SKU0932,605,39,328,2,72.6
2025-05-11,Penang,SKU0268,717,50,420,0,86.04
2025-09-01,Penang,SKU0352,86,38,391,6,10.32
2025-11-07,KK,SKU0789,392,50,521,10,47.04
2024-12-19,Shah Alam,SKU0172,215,93,521,4,25.8
2024-06-20,KK,SKU0774,118,26,330,7,14.16
2024-08-27,Melaka,SKU0309,487,88,537,6,58.44
2025-06-27,Melaka,SKU0486,268,38,144,4,32.16
2025-11-25,Ipoh,SKU0950,459,68,439,10,55.08
2025-06-28,Ipoh,SKU0979,42,32,353,9,5.04
2024-12-09,Kuching,SKU0941,667,54,290,1,80.04
2025-02-04,KK,SKU0262,670,94,589,10,80.4
2024-07-18,Ipoh,SKU0768,247,95,541,2,29.64
2025-11-19,Shah Alam,SKU0321,560,21,155,0,67.2
2024-04-16,KK,SKU0422,100,87,366,3,12.0
2024-07-16,Shah Alam,SKU0743,290,52,164,9,34.8
2025-11-03,Kuantan,SKU0095,58,96,502,10,6.96
2024-03-29,Penang,SKU0125,725,35,327,10,87.0
2024-07-08,Johor,SKU0783,663,92,548,2,79.56
2025-11-07,Johor,SKU0260,301,79,506,7,36.12
2025-12-09,Ipoh,SKU0945,283,74,305,2,33.96
2024-03-04,Melaka,SKU0800,75,55,353,5,9.0
2024-07-01,KK,SKU0062,264,53,188,7,31.68
2025-02-06,Penang,SKU0951,205,98,528,7,24.6
2025-03-17,Kuantan,SKU0112,147,89,503,10,17.64
2024-04-15,Shah Alam,SKU0109,452,53,190,1,54.24
2025-04-01,Shah Alam,SKU0586,745,52,406,2,89.4
2024-02-08,Melaka,SKU0669,655,20,256,2,78.6
2025-08-11,Shah Alam,SKU0717,337,70,433,7,40.44
2024-03-12,Kuantan,SKU0490,446,71,172,6,53.52
2024-05-04,Ipoh,SKU0978,705,81,351,10,84.6
2025-10-09,Johor,SKU0311,410,27,314,8,49.2
2025-04-15,Kuching,SKU0874,348,30,461,3,41.76
2025-01-28,Kuantan,SKU0181,567,25,278,6,68.04
2025-12-06,Ipoh,SKU0918,109,100,449,1,13.08
2024-07-13,Penang,SKU0907,647,76,194,3,77.64
2024-09-01,KK,SKU0026,737,95,394,1,88.44
2025-05-26,KK,SKU0812,553,59,167,0,66.36
2024-02-13,Melaka,SKU0348,57,63,223,3,6.84
2025-04-14,Penang,SKU0827,669,86,565,9,80.28
2024-05-24,KK,SKU0239,73,24,458,0,8.76
2024-09-05,Penang,SKU0483,633,25,132,2,75.96
2024-04-09,KK,SKU0648,51,59,471,2,6.12
2024-04-18,Johor,SKU0856,605,28,382,9,72.6
2024-03-05,Kuantan,SKU0819,630,48,366,5,75.6
2024-11-28,Johor,SKU0831,755,71,521,9,90.6
2024-08-06,Shah Alam,SKU0559,140,61,464,2,16.8
2024-10-07,Penang,SKU0344,64,35,522,6,7.68
2025-07-20,Penang,SKU0173,713,67,391,3,85.56
2024-05-16,Johor,SKU0948,595,25,448,9,71.4
2024-01-17,KK,SKU0386,796,40,181,0,95.52
2025-12-24,Kuching,SKU0008,183,31,344,7,21.96
2024-05-26,Kuching,SKU0709,129,46,413,7,15.48
2025-09-17,Shah Alam,SKU0422,244,42,447,2,29.28
2024-03-31,Kuching,SKU0735,511,98,376,6,61.32
2024-07-15,Johor,SKU0005,571,50,421,1,68.52
2025-06-03,Kuantan,SKU0634,370,89,426,10,44.4
2024-02-24,Kuantan,SKU0676,213,55,212,2,25.56
2024-06-29,Penang,SKU0702,485,83,526,0,58.2
2024-10-18,Kuantan,SKU0056,660,66,388,4,79.2
2024-02-14,Johor,SKU0343,631,78,557,0,75.72
2024-06-10,Shah Alam,SKU0948,550,42,390,8,66.0
2025-03-31,Ipoh,SKU0119,72,50,364,3,8.64
2024-08-23,Johor,SKU0766,693,61,327,3,83.16
2024-07-23,Melaka,SKU0101,242,72,284,1,29.04
2024-02-25,Melaka,SKU0483,599,82,256,3,71.88
2024-07-01,Melaka,SKU0951,624,78,369,2,74.88
