PO_ID,Supplier_ID,SKU,Order_Qty,Received_Qty,Lead_Time,Delay_Days
PO000001,SUP029,SKU0663,481,464,3,6
PO000002,SUP024,SKU0795,442,422,12,3
PO000003,SUP006,SKU0723,471,462,10,0
PO000004,SUP009,SKU0347,194,188,6,4
PO000005,SUP002,SKU0181,113,100,14,1
PO000006,SUP016,SKU0834,388,387,3,2
PO000007,SUP003,SKU0288,111,110,14,5
PO000008,SUP001,SKU0706,364,355,8,7
PO000009,SUP011,SKU0718,416,407,4,7
PO000010,SUP019,SKU0093,47,35,13,5
PO000011,SUP006,SKU0672,245,243,14,7
PO000012,SUP025,SKU0092,179,171,9,1
PO000013,SUP025,SKU0306,223,210,13,8
PO000014,SUP013,SKU0608,374,368,13,5
PO000015,SUP002,SKU0632,204,194,7,2
PO000016,SUP006,SKU0769,185,182,3,3
PO000017,SUP018,SKU0797,20,18,11,7
PO000018,SUP008,SKU0289,350,342,3,1
PO000019,SUP021,SKU0989,144,139,7,0
PO000020,SUP030,SKU0752,22,3,8,3
PO000021,SUP019,SKU0818,72,62,9,2
PO000022,SUP020,SKU0833,39,25,6,3
PO000023,SUP021,SKU0171,67,60,12,7
PO000024,SUP017,SKU0028,99,83,9,6
PO000025,SUP006,SKU0681,497,488,7,2
PO000026,SUP001,SKU0613,418,413,6,7
PO000027,SUP007,SKU0688,200,193,5,7
PO000028,SUP026,SKU0368,180,179,14,6
PO000029,SUP016,SKU0948,356,347,7,7
PO000030,SUP015,SKU0064,266,259,8,8
PO000031,SUP024,SKU0110,441,439,7,7
PO000032,SUP007,SKU0160,450,443,3,1
PO000033,SUP012,SKU0846,231,213,10,3
PO000034,SUP018,SKU0901,67,63,8,8
PO000035,SUP004,SKU0265,248,239,9,5
PO000036,SUP012,SKU0787,251,247,7,7
PO000037,SUP012,SKU0610,430,427,4,0
PO000038,SUP008,SKU0202,423,405,5,2
PO000039,SUP013,SKU0893,174,172,13,2
PO000040,SUP016,SKU0426,74,67,5,8
PO000041,SUP001,SKU0122,303,301,3,3
PO000042,SUP005,SKU0460,201,185,3,3
PO000043,SUP025,SKU0791,418,406,10,1
PO000044,SUP003,SKU0701,202,187,11,6
PO000045,SUP022,SKU0875,102,100,12,3
PO000046,SUP002,SKU0520,268,254,7,2
PO000047,SUP023,SKU0931,242,230,6,5
PO000048,SUP019,SKU0569,295,289,8,3
PO000049,SUP004,SKU0035,253,251,12,4
PO000050,SUP004,SKU0773,28,17,6,8
PO000051,SUP016,SKU0528,145,132,8,7
PO000052,SUP028,SKU0105,31,31,9,6
PO000053,SUP026,SKU0786,236,233,11,1
PO000054,SUP009,SKU0072,136,131,7,0
PO000055,SUP002,SKU0424,148,130,3,3
PO000056,SUP026,SKU0769,331,321,9,1
PO000057,SUP024,SKU0721,418,406,4,0
PO000058,SUP015,SKU0023,70,52,2,1
PO000059,SUP026,SKU0021,311,306,7,6
PO000060,SUP028,SKU0795,281,270,9,3
PO000061,SUP023,SKU0207,252,234,13,3
PO000062,SUP005,SKU0296,283,269,4,1
PO000063,SUP021,SKU0671,21,17,14,0
PO000064,SUP027,SKU0961,58,42,4,3
PO000065,SUP013,SKU0834,379,370,14,7
PO000066,SUP021,SKU0631,261,248,8,5
PO000067,SUP017,SKU0516,260,246,7,8
PO000068,SUP011,SKU0095,110,108,4,3
PO000069,SUP010,SKU0368,239,219,12,8
PO000070,SUP020,SKU0686,330,310,6,8
PO000071,SUP021,SKU0343,186,168,13,0
PO000072,SUP006,SKU0058,213,201,10,0
PO000073,SUP002,SKU0721,43,43,12,3
PO000074,SUP024,SKU0622,235,228,11,1
PO000075,SUP027,SKU0701,358,356,8,5
PO000076,SUP017,SKU0606,409,397,13,1
PO000077,SUP019,SKU0856,114,97,12,8
PO000078,SUP019,SKU0109,390,387,7,0
PO000079,SUP008,SKU0252,279,278,13,0
PO000080,SUP026,SKU0951,110,100,9,7
PO000081,SUP016,SKU0767,458,443,6,3
PO000082,SUP013,SKU0902,131,111,2,7
PO000083,SUP015,SKU0945,58,55,14,1
PO000084,SUP026,SKU0718,187,183,7,8
PO000085,SUP028,SKU0267,277,277,12,3
PO000086,SUP016,SKU0355,482,474,10,1
PO000087,SUP004,SKU0080,105,88,5,3
PO000088,SUP022,SKU0107,227,217,11,1
PO000089,SUP004,SKU0159,477,465,11,8
PO000090,SUP015,SKU0923,405,390,12,0
PO000091,SUP027,SKU0362,78,60,5,1
PO000092,SUP009,SKU0728,268,266,4,4
PO000093,SUP008,SKU0042,441,424,9,1
PO000094,SUP017,SKU0328,194,194,9,5
PO000095,SUP008,SKU0923,374,356,2,0
PO000096,SUP024,SKU0964,310,299,7,2
PO000097,SUP025,SKU0271,363,348,11,2
PO000098,SUP030,SKU0536,346,333,6,2
PO000099,SUP015,SKU0267,247,231,8,6
PO000100,SUP014,SKU0407,442,429,14,7
PO000101,SUP003,SKU0350,267,266,14,4
PO000102,SUP028,SKU0716,36,21,11,5
PO000103,SUP015,SKU0525,123,120,12,2
PO000104,SUP002,SKU0178,277,277,13,8
PO000105,SUP028,SKU0778,222,212,13,5
PO000106,SUP002,SKU0816,380,372,9,4
PO000107,SUP025,SKU0384,418,417,4,7
PO000108,SUP022,SKU0853,474,469,12,3
PO000109,SUP028,SKU0723,195,188,4,3
PO000110,SUP022,SKU0100,424,405,10,5
PO000111,SUP004,SKU0814,137,128,4,1
PO000112,SUP030,SKU0758,456,453,5,8
PO000113,SUP025,SKU0386,234,231,6,1
PO000114,SUP017,SKU0150,332,325,11,5
PO000115,SUP014,SKU0067,146,146,7,7
PO000116,SUP027,SKU0015,364,351,3,4
PO000117,SUP002,SKU0557,241,230,10,4
PO000118,SUP012,SKU0626,327,316,2,7
PO000119,SUP014,SKU0527,32,28,6,2
PO000120,SUP002,SKU0199,185,174,6,5
PO000121,SUP018,SKU0930,468,463,14,5
PO000122,SUP002,SKU0142,35,16,9,3
PO000123,SUP017,SKU0768,79,77,11,7
PO000124,SUP002,SKU0838,308,291,11,7
PO000125,SUP020,SKU0655,258,250,10,4
PO000126,SUP020,SKU0451,218,212,7,4
PO000127,SUP023,SKU0184,290,273,14,1
PO000128,SUP017,SKU0524,156,155,10,0
PO000129,SUP006,SKU0849,406,400,6,6
PO000130,SUP029,SKU0736,262,244,5,8
PO000131,SUP024,SKU0791,141,130,9,6
PO000132,SUP018,SKU0024,414,402,14,0
PO000133,SUP012,SKU0862,272,256,9,4
PO000134,SUP010,SKU0333,494,480,2,6
PO000135,SUP019,SKU0122,309,293,2,5
PO000136,SUP012,SKU0873,456,448,7,2
PO000137,SUP012,SKU0600,287,271,4,0
PO000138,SUP016,SKU0758,203,192,2,5
PO000139,SUP005,SKU0872,289,287,3,1
PO000140,SUP009,SKU0456,139,125,11,4
PO000141,SUP015,SKU0970,74,68,5,1
PO000142,SUP012,SKU0032,494,486,3,1
PO000143,SUP026,SKU0758,231,227,4,1
PO000144,SUP013,SKU0858,428,423,13,0
PO000145,SUP009,SKU0484,348,346,3,8
PO000146,SUP014,SKU0692,157,149,12,1
PO000147,SUP014,SKU0071,80,64,11,5
PO000148,SUP019,SKU0293,206,186,2,5
PO000149,SUP025,SKU0453,318,302,8,0
PO000150,SUP007,SKU0553,485,470,4,6
PO000151,SUP001,SKU0070,131,123,8,8
PO000152,SUP011,SKU0509,155,143,14,8
PO000153,SUP014,SKU0411,480,473,10,8
PO000154,SUP005,SKU0076,394,374,13,6
PO000155,SUP002,SKU0680,375,369,11,2
PO000156,SUP003,SKU0365,173,168,14,5
PO000157,SUP009,SKU0573,413,402,13,8
PO000158,SUP020,SKU0763,224,210,10,1
PO000159,SUP012,SKU0870,70,58,12,2
PO000160,SUP029,SKU0361,379,364,6,3
PO000161,SUP008,SKU0472,97,82,5,8
PO000162,SUP018,SKU0465,378,373,14,1
PO000163,SUP020,SKU0506,22,18,4,2
PO000164,SUP007,SKU0112,323,320,7,3
PO000165,SUP019,SKU0295,22,4,13,3
PO000166,SUP020,SKU0185,326,313,3,2
PO000167,SUP020,SKU0248,497,490,2,3
PO000168,SUP027,SKU0889,206,203,10,4
PO000169,SUP004,SKU0917,128,110,8,3
