Sales_ID,Date,SKU,Warehouse,Quantity_Sold,Discount_Pct,Revenue
S000001,2025-09-19,SKU0882,Shah Alam,10,10,3465.72
S000002,2024-09-14,SKU0333,Kuantan,14,15,2061.08
S000003,2024-05-20,SKU0994,Johor,3,5,1230.12
S000004,2025-10-31,SKU0755,Kuching,2,15,79.34
S000005,2024-03-09,SKU0861,Johor,13,0,1142.7
S000006,2025-04-10,SKU0538,Shah Alam,13,15,1131.08
S000007,2025-07-04,SKU0668,KK,3,10,316.14
S000008,2024-01-21,SKU0548,Ipoh,7,0,1976.59
S000009,2025-09-26,SKU0309,Kuantan,10,0,4875.3
S000010,2024-08-15,SKU0112,Johor,18,0,3761.64
S000011,2025-03-29,SKU0153,Shah Alam,12,0,1286.16
S000012,2025-05-26,SKU0982,Kuantan,19,10,5054.42
S000013,2025-01-01,SKU0263,Shah Alam,4,0,1934.36
S000014,2025-12-10,SKU0955,Shah Alam,11,0,2519.66
S000015,2025-05-09,SKU0461,Johor,14,0,644.42
S000016,2025-01-28,SKU0666,Penang,18,15,4446.64
S000017,2024-07-15,SKU0646,Melaka,19,0,2027.11
S000018,2024-03-31,SKU0562,Kuching,4,0,594.8
S000019,2025-09-22,SKU0899,Kuching,11,0,5427.95
S000020,2024-05-16,SKU0567,Shah Alam,1,5,444.63
S000021,2024-09-13,SKU0839,Ipoh,15,10,2746.58
S000022,2024-12-03,SKU0683,Kuching,17,0,2896.29
S000023,2024-06-14,SKU0056,KK,6,0,1649.34
S000024,2025-12-03,SKU0738,Shah Alam,16,5,3252.34
S000025,2024-02-25,SKU0133,Melaka,4,10,1505.23
S000026,2024-05-09,SKU0776,Ipoh,14,5,2913.63
S000027,2024-07-15,SKU0182,Kuching,15,10,3295.22
S000028,2024-05-05,SKU0261,Shah Alam,9,0,4253.85
S000029,2024-10-31,SKU0416,Penang,15,5,1885.42
S000030,2024-07-15,SKU0067,Shah Alam,1,10,401.62
S000031,2024-10-10,SKU0426,Kuching,7,15,1499.82
S000032,2024-01-20,SKU0205,Kuching,16,0,3361.44
S000033,2024-12-20,SKU0172,Kuching,11,5,2922.76
S000034,2024-09-01,SKU0190,Ipoh,8,5,2131.65
S000035,2025-04-12,SKU0216,Penang,9,10,3420.55
S000036,2025-06-16,SKU0319,Kuantan,17,5,6135.71
S000037,2024-08-14,SKU0170,Ipoh,6,0,711.48
S000038,2025-04-03,SKU0027,KK,6,0,2060.64
S000039,2025-08-16,SKU0268,Shah Alam,13,15,452.83
S000040,2024-09-17,SKU0198,KK,8,10,2501.64
S000041,2025-05-03,SKU0896,Shah Alam,4,0,145.96
S000042,2025-12-04,SKU0348,KK,17,5,7276.71
S000043,2024-06-15,SKU0746,Penang,11,0,4209.04
S000044,2025-10-03,SKU0808,Penang,3,15,778.18
S000045,2024-11-08,SKU0741,Shah Alam,2,0,955.0
S000046,2025-11-08,SKU0650,Kuching,5,0,2163.45
S000047,2024-08-19,SKU0137,KK,2,0,447.12
S000048,2024-11-04,SKU0656,Ipoh,7,10,1837.39
S000049,2024-02-03,SKU0942,Shah Alam,7,0,2742.53
S000050,2025-11-10,SKU0129,Melaka,4,0,499.6
S000051,2025-02-16,SKU0246,Melaka,18,0,7276.86
S000052,2025-10-17,SKU0426,Kuantan,19,0,4789.33
S000053,2025-01-19,SKU0417,Kuching,11,10,2519.85
S000054,2025-08-13,SKU0632,KK,3,10,85.62
S000055,2024-04-26,SKU0556,Kuantan,11,15,3179.94
S000056,2024-11-18,SKU0727,Ipoh,10,0,1798.9
S000057,2025-02-03,SKU0254,KK,6,10,986.26
S000058,2024-11-18,SKU0510,Kuching,7,5,833.98
S000059,2024-08-02,SKU0893,Johor,5,10,1336.19
S000060,2025-11-04,SKU0516,Melaka,18,10,1901.39
S000061,2025-02-13,SKU0112,Kuantan,13,5,2580.9
S000062,2025-06-08,SKU0250,Shah Alam,10,0,1968.7
S000063,2024-12-13,SKU0618,Kuching,3,0,1228.74
S000064,2025-06-06,SKU0750,Penang,4,5,1868.57
S000065,2025-04-12,SKU0303,Shah Alam,20,5,5650.03
S000066,2024-09-22,SKU0775,Johor,12,15,3722.69
S000067,2025-03-14,SKU0073,Ipoh,9,0,2572.83
S000068,2025-02-10,SKU0659,Ipoh,9,5,2680.51
S000069,2025-05-09,SKU0098,Kuching,6,5,596.39
S000070,2025-04-14,SKU1000,Ipoh,20,0,8491.0
S000071,2024-04-13,SKU0823,Kuantan,8,0,695.84
S000072,2025-01-09,SKU0526,Melaka,8,0,3243.12
S000073,2024-08-14,SKU0169,Kuching,19,0,6817.2
S000074,2025-03-08,SKU0683,Ipoh,20,0,3407.4
S000075,2025-06-28,SKU0112,Penang,11,15,1953.96
S000076,2025-08-31,SKU0159,Kuching,7,0,674.17
S000077,2024-12-16,SKU0499,Melaka,13,0,3538.86
S000078,2025-01-07,SKU0459,Melaka,14,15,4361.11
S000079,2025-08-01,SKU0086,Kuantan,6,0,281.22
S000080,2024-04-09,SKU0236,Kuching,10,0,3821.1
S000081,2025-01-28,SKU0392,Kuantan,16,10,4780.51
S000082,2025-01-15,SKU0522,Penang,19,0,1721.78
S000083,2024-10-20,SKU0869,Kuantan,20,0,6950.8
S000084,2024-12-12,SKU0948,Penang,16,0,2108.8
S000085,2024-08-18,SKU0628,Johor,2,10,891.79
S000086,2025-02-04,SKU0779,Melaka,3,15,540.29
S000087,2025-04-03,SKU0459,Melaka,9,0,3298.32
S000088,2024-07-23,SKU0854,Penang,17,5,7448.54
S000089,2025-06-28,SKU0004,Johor,15,0,345.0
S000090,2025-09-23,SKU1000,Kuching,4,5,1613.29
S000091,2025-07-15,SKU0258,Penang,4,15,1549.45
S000092,2025-11-16,SKU0404,Johor,20,5,924.73
S000093,2024-02-28,SKU0517,Johor,15,15,4798.97
S000094,2025-08-08,SKU0352,KK,8,15,242.49
S000095,2024-10-05,SKU0275,Johor,1,0,191.56
S000096,2025-08-22,SKU0592,Kuching,3,10,803.65
S000097,2025-10-10,SKU0736,Ipoh,20,10,8296.38
S000098,2025-05-07,SKU0673,Kuching,4,0,879.2
S000099,2024-11-14,SKU0173,Penang,13,0,2083.25
S000100,2024-01-30,SKU0146,Kuching,15,0,654.3
S000101,2024-06-19,SKU0367,Ipoh,3,0,1136.01
S000102,2025-10-20,SKU0873,Kuantan,17,10,5006.31
S000103,2025-07-27,SKU0666,Johor,15,0,4359.45
S000104,2025-04-08,SKU0051,Kuching,8,0,2938.0
S000105,2025-08-03,SKU0230,Johor,3,10,194.02
S000106,2025-10-23,SKU0038,Penang,1,0,409.85
S000107,2024-05-03,SKU0262,Penang,13,0,5252.91
S000108,2025-11-14,SKU0556,KK,12,0,4081.2
S000109,2024-08-21,SKU0923,Johor,6,5,1757.94
S000110,2025-06-08,SKU0668,Johor,11,0,1287.99
S000111,2025-03-23,SKU0009,KK,18,5,7272.12
S000112,2025-11-23,SKU0861,Penang,2,0,175.8
S000113,2025-12-04,SKU0756,KK,19,0,1406.95
S000114,2024-11-25,SKU0614,Kuching,1,0,186.95
S000115,2024-10-04,SKU0687,Penang,2,5,140.58
S000116,2024-08-15,SKU0764,Ipoh,17,0,2900.54
S000117,2025-06-29,SKU0583,KK,17,0,8418.57
S000118,2024-03-21,SKU0408,Melaka,20,15,3106.75
S000119,2024-10-16,SKU0290,Johor,17,15,5690.12
S000120,2024-08-31,SKU0180,Kuching,3,0,873.87
S000121,2024-12-24,SKU0584,Kuantan,13,0,5530.85
S000122,2025-12-23,SKU0776,Melaka,16,0,3505.12
S000123,2024-08-19,SKU0150,Ipoh,15,0,4613.25
S000124,2025-12-30,SKU0143,Kuantan,13,0,4979.0
S000125,2024-09-08,SKU0391,KK,3,0,53.88
S000126,2024-04-15,SKU0060,Melaka,11,5,4124.72
S000127,2024-10-13,SKU0166,KK,20,10,3181.86
S000128,2025-05-30,SKU0751,KK,12,0,5838.6
S000129,2024-02-23,SKU0988,Melaka,2,15,43.91
S000130,2024-09-30,SKU0262,Melaka,14,0,5656.98
